scenario_name,replicate_id,c_index,duration_sec,ghost_estimator,survival_model,error,variable,relevance_score,relevance_rank
Linear_Uncorr_RSF_RFGhost,26,0.7778872198965772,0.7163193225860596,rf,rsf,,X2,1864.0902391553861,1
Linear_Uncorr_RSF_RFGhost,26,0.7778872198965772,0.7163193225860596,rf,rsf,,X3,746.9073583895158,3
Linear_Uncorr_RSF_RFGhost,26,0.7778872198965772,0.7163193225860596,rf,rsf,,X4,28.44060513613523,5
Linear_Uncorr_RSF_RFGhost,26,0.7778872198965772,0.7163193225860596,rf,rsf,,X5,39.62988072795692,4
Linear_Uncorr_RSF_RFGhost,27,0.7995917387127762,0.7021498680114746,rf,rsf,,X1,2309.788566708611,1
Linear_Uncorr_RSF_RFGhost,27,0.7995917387127762,0.7021498680114746,rf,rsf,,X2,790.934755544417,3
Linear_Uncorr_RSF_RFGhost,27,0.7995917387127762,0.7021498680114746,rf,rsf,,X3,1210.0319429960762,2
Linear_Uncorr_RSF_RFGhost,27,0.7995917387127762,0.7021498680114746,rf,rsf,,X4,22.666355117453428,5
Linear_Uncorr_RSF_RFGhost,27,0.7995917387127762,0.7021498680114746,rf,rsf,,X5,86.57747770883655,4
Linear_Uncorr_RSF_RFGhost,28,0.7970634504457262,0.7482428550720215,rf,rsf,,X1,2198.2118930358756,1
Linear_Uncorr_RSF_RFGhost,28,0.7970634504457262,0.7482428550720215,rf,rsf,,X2,915.7977594688298,3
Linear_Uncorr_RSF_RFGhost,28,0.7970634504457262,0.7482428550720215,rf,rsf,,X3,1521.0348904932837,2
Linear_Uncorr_RSF_RFGhost,28,0.7970634504457262,0.7482428550720215,rf,rsf,,X4,16.440160452459786,4
Linear_Uncorr_RSF_RFGhost,28,0.7970634504457262,0.7482428550720215,rf,rsf,,X5,12.360584987451182,5
Linear_Uncorr_RSF_RFGhost,29,0.7708470992467292,0.7202789783477783,rf,rsf,,X1,1130.3326388213138,3
Linear_Uncorr_RSF_RFGhost,29,0.7708470992467292,0.7202789783477783,rf,rsf,,X2,1537.4714762105527,1
Linear_Uncorr_RSF_RFGhost,29,0.7708470992467292,0.7202789783477783,rf,rsf,,X3,1228.423388205276,2
Linear_Uncorr_RSF_RFGhost,29,0.7708470992467292,0.7202789783477783,rf,rsf,,X4,60.640016696929194,4
Linear_Uncorr_RSF_RFGhost,29,0.7708470992467292,0.7202789783477783,rf,rsf,,X5,12.418600244969793,5
Linear_Corr_RSF_RFGhost,0,0.8038143828960156,0.7127423286437988,rf,rsf,,X1,2385.3959369770932,1
Linear_Corr_RSF_RFGhost,0,0.8038143828960156,0.7127423286437988,rf,rsf,,X2,1152.8079195657733,2
Linear_Corr_RSF_RFGhost,0,0.8038143828960156,0.7127423286437988,rf,rsf,,X3,491.3179312931618,3
Linear_Corr_RSF_RFGhost,0,0.8038143828960156,0.7127423286437988,rf,rsf,,X4,22.24833088659936,4
Linear_Corr_RSF_RFGhost,0,0.8038143828960156,0.7127423286437988,rf,rsf,,X5,3.660457724332247,5
Linear_Corr_RSF_RFGhost,1,0.8054611803196174,0.8749871253967285,rf,rsf,,X1,769.4640937983063,3
Linear_Corr_RSF_RFGhost,1,0.8054611803196174,0.8749871253967285,rf,rsf,,X2,1447.7662370174146,2
Linear_Corr_RSF_RFGhost,1,0.8054611803196174,0.8749871253967285,rf,rsf,,X3,1468.6540095600665,1
Linear_Corr_RSF_RFGhost,1,0.8054611803196174,0.8749871253967285,rf,rsf,,X4,41.477410321000605,4
Linear_Corr_RSF_RFGhost,1,0.8054611803196174,0.8749871253967285,rf,rsf,,X5,10.918629473189275,5
Linear_Corr_RSF_RFGhost,2,0.7999028064633702,0.9255013465881348,rf,rsf,,X1,1218.0138956389753,2
Linear_Corr_RSF_RFGhost,2,0.7999028064633702,0.9255013465881348,rf,rsf,,X2,3284.9868884078187,1
Linear_Corr_RSF_RFGhost,2,0.7999028064633702,0.9255013465881348,rf,rsf,,X3,818.9052262588353,3
Linear_Corr_RSF_RFGhost,2,0.7999028064633702,0.9255013465881348,rf,rsf,,X4,225.33898458985257,4
Linear_Corr_RSF_RFGhost,2,0.7999028064633702,0.9255013465881348,rf,rsf,,X5,4.018405863586077,5
Linear_Corr_RSF_RFGhost,3,0.8248477186530284,0.9042530059814453,rf,rsf,,X1,1423.938940856916,2
Linear_Corr_RSF_RFGhost,3,0.8248477186530284,0.9042530059814453,rf,rsf,,X2,2390.142641783942,1
Linear_Corr_RSF_RFGhost,3,0.8248477186530284,0.9042530059814453,rf,rsf,,X3,689.8186773345842,3
Linear_Corr_RSF_RFGhost,3,0.8248477186530284,0.9042530059814453,rf,rsf,,X4,159.5234164205436,4
